code,name,est_sum_total_est
313145,نيشابور - مشهد (قدمگاه),296323
873405,گرمسار - آرادان,295926
163213.0,"0     آمل - رودهن (سه راه سنگچال - شاه زيد)
1     آمل - رودهن (سه راه سنگچال - شاه زيد)
2     آمل - رودهن (سه راه سنگچال - شاه زيد)
3     آمل - رودهن (سه راه سنگچال - شاه زيد)
4     آمل - رودهن (سه راه سنگچال - شاه زيد)
5     آمل - رودهن (سه راه سنگچال - شاه زيد)
6     آمل - رودهن (سه راه سنگچال - شاه زيد)
7     آمل - رودهن (سه راه سنگچال - شاه زيد)
8     آمل - رودهن (سه راه سنگچال - شاه زيد)
9     آمل - رودهن (سه راه سنگچال - شاه زيد)
10    آمل - رودهن (سه راه سنگچال - شاه زيد)
11    آمل - رودهن (سه راه سنگچال - شاه زيد)
12    آمل - رودهن (سه راه سنگچال - شاه زيد)
13    آمل - رودهن (سه راه سنگچال - شاه زيد)
14    آمل - رودهن (سه راه سنگچال - شاه زيد)
15    آمل - رودهن (سه راه سنگچال - شاه زيد)
16    آمل - رودهن (سه راه سنگچال - شاه زيد)
17    آمل - رودهن (سه راه سنگچال - شاه زيد)
18    آمل - رودهن (سه راه سنگچال - شاه زيد)
19    آمل - رودهن (سه راه سنگچال - شاه زيد)
20    آمل - رودهن (سه راه سنگچال - شاه زيد)
21    آمل - رودهن (سه راه سنگچال - شاه زيد)
22    آمل - رودهن (سه راه سنگچال - شاه زيد)
23    آمل - رودهن (سه راه سنگچال - شاه زيد)
24    آمل - رودهن (سه راه سنگچال - شاه زيد)
25    آمل - رودهن (سه راه سنگچال - شاه زيد)
26    آمل - رودهن (سه راه سنگچال - شاه زيد)
27    آمل - رودهن (سه راه سنگچال - شاه زيد)
28    آمل - رودهن (سه راه سنگچال - شاه زيد)
29    آمل - رودهن (سه راه سنگچال - شاه زيد)
30    آمل - رودهن (سه راه سنگچال - شاه زيد)
31    آمل - رودهن (سه راه سنگچال - شاه زيد)
32    آمل - رودهن (سه راه سنگچال - شاه زيد)
33    آمل - رودهن (سه راه سنگچال - شاه زيد)
34    آمل - رودهن (سه راه سنگچال - شاه زيد)
35    آمل - رودهن (سه راه سنگچال - شاه زيد)
36    آمل - رودهن (سه راه سنگچال - شاه زيد)
37    آمل - رودهن (سه راه سنگچال - شاه زيد)
38    آمل - رودهن (سه راه سنگچال - شاه زيد)
Name: name, dtype: object",293489
973451,گلوگاه - کردکوي,293400
113404,دماوند - فيروزکوه (امين‌آباد - سه‌راه ارجمند),292340
643805,ميناب - بندرعباس (پل شور),292016
913151,آستارا - اردبيل (نمين - گيلانده),291972
573102,اروميه - سلماس (اروميه),291846
953264,برازجان - بوشهر,289020
573152,سلماس - اروميه (اروميه),287858
