,code,name_x,est_sum_total_est_x,est_sum_total_est_y,growth_rate
26,183121.0,آزادراه کرج - قزوين (نظرآباد),783565,666218.0,17.613904157497995
260,164154.0,کرج - چالوس (مرزن آباد - دوآب),314018,267042.0,17.591240329236598
753,953115.0,عالي شهر - نيروگاه اتمي,148774,126614.0,17.502013995292778
1915,313156.0,سدکارده - مشهد (سه‌راه کارده),37782,32206.0,17.313544060113024
2168,573251.0,راژان - اروميه,28008,23898.0,17.198091890534773
945,323352.0,جنگل گلستان - چمن بيد (رباط قره بيل),117626,100366.0,17.197058764920392
41,543556.0,آزادراه قزوين - رشت (رستم‌آباد - امامزاده هاشم),702079,599106.0,17.187776453582504
45,543155.0,آزادراه قزوين - رشت (رودبار - رستم‌آباد),695549,593647.0,17.16541985388623
557,263154.0,آزادراه زنجان - تبريز (هشترود - بستان‌آباد),195976,167319.0,17.127164279011946
2230,833702.0,مهران - دهلران,25845,22066.0,17.12589504214629
2341,714157.0,سومار - گيلانغرب,20589,17583.0,17.096058693055795
1403,753802.0,رزن - آوج,66854,57143.0,16.994207514481214
1361,323204.0,گرمه - جاجرم,69739,59611.0,16.990152824143195
971,713202.0,اسلام آباد - دالاهو,114805,98204.0,16.904606736996456
65,113414.0,کمربندي جنوبي رودهن (پرديس - دماوند),600644,514036.0,16.848625388105113
1102,733413.0,بانه - سقز (بانه),98453,84257.0,16.848451760684572
1491,573904.0,مهاباد - بوکان (مهاباد),61597,52720.0,16.838012139605464
461,873230.0,سمنان - دامغان (کمربندي سمنان) (متناظر توزين),227124,194526.0,16.757657074118626
1001,953504.0,خورموج - کنگان (خورموج),110380,94629.0,16.64500311743757
490,913103.0,اردبيل - سرعين,216438,185717.0,16.541835157793848
906,713104.0,قزانچي - روانسر (نوروزآباد),122158,104902.0,16.449638710415435
333,873151.0,آرادان - سرخه,268114,230362.0,16.388119568331582
1445,573801.0,سه‌راهي ايواغلي - ماکو (ايواغلي - قره ضياءالدين),64600,55550.0,16.29162916291629
778,753716.0,جوکار - ملاير (ملاير),143864,123762.0,16.242465377094746
1587,773551.0,مالخليفه - گوشکي,55413,47674.0,16.233166925368124
353,873205.0,سمنان - دامغان (سمنان - قوشه),261272,224799.0,16.224716302118782
697,573275.0,سلماس - اروميه(سلماس - نوشين شهر),160245,137917.0,16.18944727626036
1094,143170.0,قم - جمکران (بلوار پيامبر اعظم),99374,85607.0,16.081628838763184
1257,733758.0,سروآباد - مريوان,79930,68869.0,16.06092726771116
500,714252.0,صحنه - بستون,212671,183257.0,16.050682920706986
880,773157.0,نافچ - شهرکرد,125759,108415.0,15.997786284185766
851,714201.0,سه راهي هرسين - هرسين,130548,112640.0,15.898437500000002
149,313161.0,شانديز - مشهد,432120,373331.0,15.747151991128517
542,953451.0,کازرون - برازجان (دالکي - برازجان),199930,172974.0,15.583844970920484
1391,973254.0,کردکوي - بندر ترکمن,67612,58511.0,15.55434020953325
405,973106.0,گرگان - آق قلا,241469,209138.0,15.459170499861335
1572,414753.0,دارالميزان - گله دار,56033,48542.0,15.431997033496767
2071,323219.0,بجنورد - شوقان,31756,27525.0,15.371480472297911
615,414402.0,کازرون - برازجان (کازرون - کنارتخته),181650,157475.0,15.35164311795523
536,643108.0,بندرعباس - حاجي‌آباد (دشت امام - فين),202034,175186.0,15.325425547703583
2285,454104.0,شهربابک - هرات (شهربابک),23158,20088.0,15.282755874153722
2541,613601.0,سراوان - کوهک,9352,8113.0,15.271786022433131
523,873403.0,ايوانکي - گرمسار,205645,178406.0,15.267984260619038
1452,573954.0,بوکان - مهاباد (مهاباد),63898,55446.0,15.243660498503047
1207,113251.0,آزادراه گرمسار - قم (چرمشهر),85823,74521.0,15.166194763892058
2425,214211.0,کاشان - بادرود,16723,14541.0,15.005845540196686
1833,813202.0,الشتر - فيروزآباد,41518,36104.0,14.995568358076666
1712,364101.0,دارخوين - شادگان,47811,41604.0,14.919238534756275
585,573153.0,اروميه - سرو (اروميه),188431,164161.0,14.784266665042246
850,315723.0,جاده قديم نيشابور - سبزوار (نيشابور - فيروزه),130765,113925.0,14.781654597322799
983,573552.0,سلماس - خوي,113607,99031.0,14.718623461340389
519,314320.0,سبزوار - نيشابور (زعفرانيه),206501,180078.0,14.673086107131352
2022,643952.0,لار - بستک (بستک),33262,29009.0,14.660967286014683
1127,713701.0,دالاهو - سرپل ذهاب,95869,83628.0,14.637442005070072
1070,364508.0,شوشتر - دزفول (دزفول),101295,88432.0,14.545639587479645
809,733551.0,حسين آباد - ديواندره,138131,120638.0,14.500406173842403
2291,574107.0,پلدشت - جلفا (پلدشت),22839,19949.0,14.486941701338413
391,153114.0,آزادراه قزوين - کرج (3کيلومتر مانده به عوارضي 1 قزوين),245697,214711.0,14.431491632939162
2005,323269.0,شوقان - بجنورد,34035,29746.0,14.418745377529751
1206,953612.0,سه راهي دير - بردستان,85865,75079.0,14.366200935015117
275,313195.0,مشهد - نيشابور (قدمگاه),299652,262101.0,14.326919775201164
2123,773351.0,شهرضا - بروجن (بروجن),29742,26042.0,14.207818139927808
1630,833354.0,دره شهر - بدره,53052,46490.0,14.114863411486342
1565,364404.0,رامهرمز - باغملک,56262,49334.0,14.043053472250374
1620,513101.0,سه راهي خنداب - خنداب,53710,47100.0,14.033970276008493
344,164653.0,آزادراه تهران - شمال (مرزن‌آباد - چالوس),263897,231574.0,13.957957283632878
