|code|nowruz_02|nowruz_03
130|213968||['1402-12-17', '1402-12-18', '1402-12-21', '1402-12-25', '1403-01-08']
131|213971|['1402-01-05', '1402-01-06', '1402-01-07', '1402-01-08', '1402-01-09', '1402-01-12']|['1403-01-04', '1403-01-05', '1403-01-06', '1403-01-07', '1403-01-08', '1403-01-09', '1403-01-10', '1403-01-11', '1403-01-12']
132|214202|['1402-01-04', '1402-01-05', '1402-01-06', '1402-01-07', '1402-01-08', '1402-01-09']|
133|214204.0|['1401-12-25', '1401-12-26', '1401-12-28', '1401-12-29', '1402-01-01']|
134|214205|['1401-12-29']|
135|214209|['1402-01-13']|['1403-01-13']
136|214227.0|['1401-12-12']|
137|214239.0|['1401-12-28', '1401-12-29', '1402-01-01', '1402-01-02']|
138|214252.0|['1401-12-28', '1401-12-29', '1402-01-01', '1402-01-02', '1402-01-03', '1402-01-04']|
139|214254||['1402-12-28', '1402-12-29']
140|214255||['1402-12-29']
141|214259|['1402-01-13']|
142|214277.0|['1402-01-01', '1402-01-11']|
143|214289||['1403-01-04', '1403-01-05', '1403-01-06', '1403-01-07', '1403-01-08']
144|214301|['1401-12-25', '1401-12-26']|
145|214452|['1401-12-29']|['1402-12-29']
146|214503|['1401-12-28', '1401-12-29']|
147|214553|['1402-01-13', '1402-01-14']|
148|214561||['1402-12-12', '1402-12-13', '1402-12-14', '1402-12-15', '1402-12-16']
149|214602|['1401-12-28']|['1402-12-28', '1402-12-29']
150|214603|['1401-12-26', '1401-12-28', '1401-12-29', '1402-01-06', '1402-01-07', '1402-01-08']|
151|214604|['1401-12-28']|['1402-12-28', '1402-12-29']
152|214641||['1402-12-22']
153|214641.0|['1401-12-23']|
154|214653|['1401-12-26', '1401-12-29', '1402-01-01', '1402-01-02', '1402-01-04', '1402-01-06']|['1402-12-29', '1403-01-01']
155|214691||['1402-12-23']
156|214691.0|['1401-12-23', '1401-12-24', '1402-01-13']|
157|214703||['1402-12-11', '1403-01-13']
158|214753||['1402-12-28', '1402-12-29', '1403-01-01', '1403-01-02', '1403-01-03', '1403-01-04', '1403-01-08', '1403-01-09']
159|214901.0|['1402-01-04', '1402-01-05', '1402-01-06', '1402-01-11']|
160|214902|['1401-12-28', '1401-12-29', '1402-01-01', '1402-01-02']|
161|214952|['1402-01-04', '1402-01-05', '1402-01-06', '1402-01-07', '1402-01-11', '1402-01-12']|
162|214952.0||['1403-01-04', '1403-01-05', '1403-01-06', '1403-01-07', '1403-01-08', '1403-01-09', '1403-01-10', '1403-01-12']
163|214953|['1401-12-28', '1401-12-29']|['1402-12-20', '1402-12-21', '1402-12-22', '1402-12-23', '1402-12-24', '1402-12-25', '1402-12-26', '1402-12-29']
164|215104|['1401-12-10', '1401-12-11', '1401-12-13', '1401-12-14', '1401-12-15', '1401-12-16', '1401-12-17', '1401-12-18', '1401-12-25']|
