code,name,avg_speed_1to3,avg_spped_total,diff_speed
933406,بافق - بهاباد (سه راهي چاهون),57,58,1
643806,هشتبندي - فارياب,63,64,1
573201,اروميه - راژان,68,69,1
323502,شيروان - فاروج,93,94,1
323254,جاجرم - گرمه,80,81,1
643802,سه‌راهي چاه اسماعيل - ميناب,65,66,1
543104,رشت - فومن,69,70,1
153103,جاده قديم قزوين - کرج (قزوين - آبيک),69,70,1
363254,حميديه - اهواز,64,65,1
543117,ملاسرا - شفت,70,71,1
713751,سرپل ذهاب - دالاهو,71,72,1
913956,مشکين‌شهر - سه‌راهي لاهرود,82,83,1
543152,رودسر - لنگرود,73,74,1
543153,سنگر - کوچصفهان,48,49,1
543154,فومن - رشت,76,77,1
215302,تيران - چادگان (سه راهي سد زاينده‌رود),70,71,1
363163,خرمشهر - اهواز,47,48,1
713602,سنقر - قروه,68,69,1
363156,سوسنگرد - حميديه,65,66,1
643852,ميناب - سه‌راهي چاه اسماعيل,67,68,1
363152,آبادان - اهواز (دارخوين - اهواز),79,80,1
933105,کمربندي يزد - زارچ,80,81,1
953655,کنگان - دير,76,77,1
853401,سه‌راهي سميرم - پاتاوه,68,69,1
933451,نوق - بافق,64,65,1
953752,ديلم - گناوه,96,97,1
362113,مسجدسليمان - شوشتر (مسجدسليمان - سه‌راهي گاو سوار),66,67,1
543234,شاقاجي - امامزاده هاشم,56,57,1
573354,سردشت - پيرانشهر,74,75,1
713805,ميانراهان - کامياران,65,66,1
153190,بهرام آباد - قزوين,57,58,1
183154,چالوس - کرج (پوركان),52,53,1
413222,شيراز - کازرون,54,55,1
414853,شيراز - مرودشت (شيراز - اکبرآباد),73,74,1
143116.0,آزادراه قم - کاشان (قم - تقاطع جاده قديم),95,96,1
813355,دره شهر - پلدختر (سراب حمام),61,62,1
953127,بوشهر - دلوار,96,97,1
574107,پلدشت - جلفا (پلدشت),85,86,1
773551,مالخليفه - گوشکي,59,60,1
833660,لومار - سه راهي عالي آباد,46,47,1
613286,خاش - زاهدان (خاش) (متناظر توزين),67,68,1
183104,کرج - چالوس (پوركان),52,53,1
414162,بندر شيرينو - چاه کبکان (مرز استان),64,65,1
643154,سه‌راهي چاه اسماعيل - بندرعباس,88,89,1
163451,محمودآباد - فريدونکنار,65,66,1
413159,قائميه - دشت ارژن,87,88,1
413158.0,خرامه - شيراز,80,81,1
414164,آزاد راه اصفهان - شيراز (مرودشت),102,103,1
183119,کرج - چالوس (سد کرج),57,58,1
183121,آزادراه کرج - قزوين (نظرآباد),90,91,1
413901,سپيدان - ياسوج (سپيدان),72,73,1
573853,بوکان - شاهين دژ,80,81,1
113207,آزادراه تهران - پرديس (بومهن),100,101,1
414852,صفاشهر - سعادتشهر,50,51,1
