code,name,est_sum_total_est
873405,گرمسار - آرادان,705762
513699,آزادراه ساوه - سلفچگان (عوارضي سلفچگان),705420
673504,آزادراه زنجان - قزوين (سلطانيه - صائين قلعه),704800
913225,اردبیل - نير (اردبیل),703593
713152,قزانچي - کرمانشاه,702271
164155,فيروزکوه - قائمشهر (پل سفيد - شيرگاه),698927
363203,اهواز - شوش (الوان - شوش),698476
973451,گلوگاه - کردکوي,698302
263301,سهند - تبريز,696166
214752,نجف‌آباد - خميني‌شهر,695311
573152,سلماس - اروميه (اروميه),694911
213205,کمربندي شرق اصفهان (سپاهان شهر - جاده نائين),694396
543169,صومعه سرا - طاهرگوراب,692766
163212,آمل - رودهن (پارک جنگلي - سه راه سنگچال),690601
163451,محمودآباد - فريدونکنار,688897
913101,اردبيل - آستارا (گيلانده - نمين) (متناظر توزين),687321
114256,وردآورد - تهران (همت),683082
163213,آمل - رودهن (سه راه سنگچال - شاه زيد),680425
163204,گتاب - بابل,679509
933106,يزد - مهريز,677529
363151,ورودي شرق اهواز (متناظر توزين),675503
953214,بوشهر - برازجان (متناظر توزين),673750
114463,گرمسار - شريف آباد,673409
163560,کردکوي - گلوگاه (گلوگاه),670391
163262,رودهن - آمل (سه راه سنگچال - پارک جنگلي),670316
543651,چابکسر - کلاچاي,667577
143166,آزادراه کاشان - قم (تقاطع جاده قديم - قم),666814
813258,پلدختر - خرم‌آباد (چم انجير) (متناظر توزين),665981
643144,سه راه بابا غلام - بندرعباس,665510
363363,خرم‌آباد - انديمشک (انديمشک) (متناظر توزين),665248
773101,شهرکرد - سورشجان,662697
363101,خروجي شرق اهواز,656878
363279,شوش - اهواز (اهواز),656725
313145,نيشابور - مشهد (قدمگاه),655274
313195,مشهد - نيشابور (قدمگاه),654661
513152,اراک - سلفچگان (کارچان) (متناظر توزين),653398
113913,شهريار(بلوار وليعصر) - ملارد,651630
214289,آزادراه نطنز - کاشان,650614
163215,آمل - رودهن (سه راه بلده - پنجاب),650171
453204,کرمان - ماهان (هفت باغ علوي),649925
164105,قائمشهر - فيروزکوه (شيرگاه - پل سفيد),649092
264252,ملکان - بناب,648844
973952,گنبد - آزادشهر,648484
453254.0,ماهان - کرمان(هفت باغ علوي),644075
183268,آزادراه كرج- تهران (همت-مرز استان),643662
363104,اهواز - ملاثاني,643421
264203,ملکان - مياندوآب (ملکان),641321
933209,يزد - مهريز (متناظر توزين),639871
673260,آزادراه تبريز - زنجان (بين دو عوارضي زنجان),638684
413156.0,کوار - شيراز (سه‌راهي کوار - شيراز),636927
873455,آرادان - گرمسار,636646
163155,جويبار - ساري,636524
543119,طاهرگوراب - صومعه سرا,636363
113474,آبعلي - رودهن,635870
214252,آزادراه قم - کاشان (مشکات - کاشان),634321
574353,ملکان - مياندوآب (مياندوآب),633690
263652,بناب - مراغه,631387
