code,type,origin,destination,place
183117,آزادراه,کرج,قزوین,ترمینال کلانتری
183118,,کرج,چالوس,بیلقان
183119,,کرج,چالوس,سد کرج
183120,,کرج,چالوس,کندوان
183121,آزادراه,کرج,قزوین,نظرآباد
183151,آزادراه,تهران,کرج,کیلومتر25
183152,آزادراه,کرج,تهران,پل کلاک
183154,,چالوس,کرج,پورکان
183155,,چالوس,کرج,گچسر
183157,جاده قدیم,قزوین,کرج,آبیک
183160,آزادراه,قزوین,کرج,پل هشتگرد
183161,آزادراه,قزوین,کرج,گلشهر
183163,,طالقان,کرج,
183164,جاده قدیم,قزوین,کرج,کمالشهر
183167,آزادراه,قزوین,کرج,ترمینال کلانتری
183168,,چالوس,کرج,بیلقان
183169,,چالوس,کرج,سد کرج
183170,,چالوس,کرج,کندوان
183171,آزادراه,قزوین,کرج,نظرآباد
183215,آزادراه,تهران,شمال,تونل البرز
183216,,آزاد راه تهران,شمال,قطعه اول، بعد از تونل 16
183218,آزادراه,تهران,کرج,همت-مرز استان
183266,,آزاد راه شمال,تهران,قطعه اول، بعد از تونل 16
183268,آزادراه,کرج,تهران,همت-مرز استان
184201,,اشتهارد,بوئین زهرا,
184205,,اشتهارد,نظرآباد,
184206,,کرج,ماهدشت,
184207,,گچسر,دیزین,
184208,جاده,چالوس,آتشگاه,
184214,آزادراه,آبیک,چرمشهر,قبل از عوارضی
184216,,کردان,برغان,
184251,,بوئین زهرا,اشتهارد,
184252,,اشتهارد,ماهدشت,
184255,,نظرآباد,اشتهارد,
184256,,ماهدشت,کرج,
184257,,دیزین,گچسر,
184258,,آتشگاه,جاده چالوس,
184264,آزادراه,چرمشهر,آبیک,بعد از عوارضی
184266,,برغان,کردان,
213103,,اصفهان,مورچه‌خورت,پلیس‌راه
213104,,اصفهان,اردستان,کمشچه
213105,,اصفهان,علویجه,
213106,,اصفهان,زیار,
213113,آزادراه,اصفهان,زرین شهر,فلاورجان
213114,,اصفهان,فرودگاه,قهجاورستان
213153,,مورچه‌خورت,اصفهان,پلیس‌راه) (متناظر توزین
213154,,اردستان,اصفهان,کمشچه
213155,,علویجه,اصفهان,
213156,,زیار,اصفهان,
213163,آزادراه,زرین شهر,اصفهان,فلاورجان
213164,,فرودگاه,اصفهان,قهجاورستان
213201,,رامشه,ابرکوه,
213202,,اردستان,نایین,سه‌راهی اردستان
213205,کمربندی,شرق اصفهان,,سپاهان شهر - جاده نائین
213219,,اصفهان,سجزی,متناظر توزین
213228,,اصفهان,بهارستان,
213229,,اصفهان,فلاورجان,کمربندی سپاهان شهر
213233,,نطنز,اردستان,آزادراه کنار گذر شرقی - کیلومتر1
213234,,نطنز,اردستان,آزادراه کنار گذر شرقی - کیلومتر30
213251,,ابرکوه,رامشه,
213252,,نایین,اردستان,سه‌راهی اردستان
213255,کمربندی,شرق اصفهان,,جاده نائین - سپاهان شهر
213269,,سجزی,اصفهان,
213279,,فلاورجان,اصفهان,کمربندی سپاهان شهر
213283,,اردستان,نطنز,آزادراه کنار گذر شرقی - کیلومتر1
