|code|nowruz_02|nowruz_03
523|364651|['1402-01-03', '1402-01-04', '1402-01-10', '1402-01-11', '1402-01-13', '1402-01-14']|['1403-01-02', '1403-01-03', '1403-01-04', '1403-01-05', '1403-01-07', '1403-01-08', '1403-01-09', '1403-01-10', '1403-01-11', '1403-01-13', '1403-01-14']
524|364652|['1402-01-03', '1402-01-04', '1402-01-08', '1402-01-09', '1402-01-10', '1402-01-11', '1402-01-12', '1402-01-13']|['1403-01-02', '1403-01-03', '1403-01-04', '1403-01-07', '1403-01-08', '1403-01-09', '1403-01-10', '1403-01-11', '1403-01-12']
525|364653|['1402-01-03', '1402-01-04', '1402-01-05', '1402-01-09', '1402-01-10', '1402-01-11', '1402-01-12', '1402-01-13']|['1403-01-02', '1403-01-03', '1403-01-04', '1403-01-07', '1403-01-08', '1403-01-09', '1403-01-13']
526|364702|['1402-01-02', '1402-01-03', '1402-01-04']|['1403-01-02', '1403-01-03', '1403-01-04', '1403-01-08', '1403-01-09', '1403-01-10']
527|364752|['1402-01-02', '1402-01-03', '1402-01-04', '1402-01-05', '1402-01-11', '1402-01-13']|['1403-01-03', '1403-01-04', '1403-01-09', '1403-01-10']
528|410247||['1403-01-04', '1403-01-07', '1403-01-08', '1403-01-09']
529|410297||['1402-12-28']
530|413101||['1402-12-22', '1403-01-12', '1403-01-13']
531|413107.0||['1403-01-10', '1403-01-11', '1403-01-12', '1403-01-13']
532|413108|['1401-12-23', '1402-01-12', '1402-01-13']|
533|413108.0||['1403-01-13']
534|413109||['1403-01-02', '1403-01-03', '1403-01-04', '1403-01-07', '1403-01-08', '1403-01-09']
535|413111.0||['1403-01-14']
536|413124|['1402-01-02', '1402-01-03']|
537|413124.0||['1403-01-02', '1403-01-07', '1403-01-08', '1403-01-09']
538|413151||['1403-01-17']
539|413158|['1401-12-24', '1402-01-13']|
540|413158.0||['1403-01-13']
541|413159|['1402-01-04', '1402-01-05', '1402-01-06', '1402-01-10', '1402-01-11', '1402-01-12', '1402-01-13', '1402-01-14']|['1403-01-04', '1403-01-07', '1403-01-08', '1403-01-09', '1403-01-10', '1403-01-11', '1403-01-12', '1403-01-13', '1403-01-14']
542|413174|['1402-01-04', '1402-01-05', '1402-01-11', '1402-01-13', '1402-01-14']|
543|413174.0||['1403-01-04', '1403-01-10', '1403-01-13', '1403-01-14']
544|413202|['1402-01-04', '1402-01-05', '1402-01-06', '1402-01-07', '1402-01-08', '1402-01-11', '1402-01-12']|
545|413252|['1402-01-02', '1402-01-03', '1402-01-04', '1402-01-05']|
546|413267|['1402-01-04', '1402-01-12', '1402-01-13']|
547|413267.0||['1403-01-07', '1403-01-13']
548|413272|['1402-01-05', '1402-01-14']|
549|413272.0||['1403-01-14']
550|413301|['1401-12-28', '1401-12-29', '1402-01-01', '1402-01-02', '1402-01-03', '1402-01-04']|
551|413302||['1403-01-17']
552|413304|['1402-01-04', '1402-01-05', '1402-01-06', '1402-01-07', '1402-01-08', '1402-01-09', '1402-01-10', '1402-01-11', '1402-01-12']|
553|413351|['1402-01-05', '1402-01-06', '1402-01-07', '1402-01-08', '1402-01-09', '1402-01-10', '1402-01-11']|
554|413354|['1401-12-26', '1401-12-28', '1401-12-29', '1402-01-01', '1402-01-02', '1402-01-03', '1402-01-04', '1402-01-05', '1402-01-06']|
555|413606||['1402-12-28', '1403-01-02', '1403-01-03', '1403-01-04', '1403-01-07', '1403-01-08']
556|413651|['1402-01-13']|
557|413656||['1403-01-07', '1403-01-08', '1403-01-09', '1403-01-10', '1403-01-11', '1403-01-12', '1403-01-13', '1403-01-17']
